quote,speaker,episode,Tags
"I don't even know why I come here. Got nothing else to do, I guess.",Tony Soprano, S1 E12," depression, therapy, emptiness, boredom, despair"
Discontinue the lithium.,Dr. Jennifer Melfi, S1 E12," therapy, medication, instability, depression, diagnosis"
Why do you think I'm talking to you like this?,Rosalie Aprile, S6 E2," grief, parenting, tough love, friendship, honesty"
Fucking nosy! Eat your manicott!,Uncle Junior, S6 E2," irritation, family, secrecy, anger, food"
Don't you love me?,Tony Soprano, S5 E3," family, vulnerability, aging, dementia, love"
"I gave that fuck pieces of my soul, Adriana. You know what he said to me? He said I should have a fucking drink.",Christopher Moltisanti, S5 E12," betrayal, addiction, loyalty, pain, disillusionment"
"That's the guy, Adriana. My uncle Tony. The guy I'm going to hell for.",Christopher Moltisanti, S5 E12," loyalty, damnation, guilt, family, betrayal"
You're not listening. I'm not charging you because I won't take blood money. And you can't either. One thing you can never say: that you haven't been told.,Dr. Krakower, S3 E7," morality, warning, blood money, accountability, truth"
My father told me never get old. I should have listened to him.,Uncle Junior, S4 E1," aging, regret, mortality, bitterness, decline"
You're looking at them.,Tony Soprano, S1 E3," identity, Italian pride, power, history, intimidation"
How could you fucking do this to us?,Christopher Moltisanti, S4 E10," betrayal, addiction, rage, relationship, grief"
You're crowding me.,Tony Blundetto, S5 E12," pressure, trauma, warning, resentment, volatility"
"Let's be honest about the great Dickie Moltisanti, my dad, your hero. He wasn't much more than a fucking junkie.",Christopher Moltisanti, S5 E7," family myth, disillusionment, addiction, truth, resentment"
I ordered some for the table.,Tony Soprano, S6 E21," food, family, finality, normalcy, tension"
"We worry so much. Sometimes it feels like that's all we do, but in the end it just gets washed away. All of it just gets washed away.",Carmela Soprano, S6 E11," worry, mortality, perspective, family, impermanence"
"Sometimes, we're all hypocrites.",Meadow Soprano, S6 E7," hypocrisy, morality, family, self-awareness, judgment"
"No more of this, Butchie. No more.",Phil Leotardo, S6 E19," revenge, exhaustion, violence, finality, mob war"
"Yeah, again with the money. It's settled, John. So either name a price or get the fuck over it.",Carmine Lupertazzi, S4 E4," money, negotiation, authority, conflict, finality"
